Josh Allen,Buf,QB,17,56,402.58,100%,1,4407,36,15,763,6,0,0,0,0,3,3
Justin Herbert,LAC,QB,17,68,380.76,99%,2,5014,38,15,302,3,0,0,0,0,6,1
Tom Brady,TB,QB,17,60,374.74,99%,3,5316,43,12,81,2,0,0,0,0,0,3
Patrick Mahomes,KC,QB,17,25,361.66,100%,4,4839,37,13,381,2,0,0,0,0,2,4
Cooper Kupp,LAR,WR,17,11,367.00,100%,5,0,0,0,18,0,145,1947,16,0,1,0
Jonathan Taylor,Ind,RB,17,13,353.10,100%,6,0,0,0,1811,18,40,360,2,0,0,2
Matthew Stafford,LAR,QB,17,106,329.74,98%,7,4886,41,17,43,0,0,0,0,0,2,2
Aaron Rodgers,GB,QB,16,74,332.80,98%,8,4115,37,4,101,3,1,-4,0,0,0,0
Dak Prescott,Dal,QB,16,57,320.56,99%,9,4449,37,10,146,1,0,0,0,0,3,6
Joe Burrow,Cin,QB,16,107,314.24,92%,10,4611,34,14,118,2,0,0,0,0,1,2
Jalen Hurts,Phi,QB,15,59,312.16,95%,11,3144,16,9,784,10,0,0,0,0,3,2
Kyler Murray,Ari,QB,14,26,300.48,99%,12,3787,24,10,423,5,0,7,0,0,0,0
Austin Ekeler,LAC,RB,16,7,308.80,100%,13,0,0,0,911,12,70,647,8,0,2,3
Kirk Cousins,Min,QB,16,120,300.34,74%,14,4221,33,7,115,1,0,0,0,0,0,2
Deebo Samuel,SF,WR,16,37,300.46,98%,15,24,1,0,365,8,77,1405,6,0,0,2
Davante Adams,GB,WR,16,2,282.80,100%,16,0,0,0,0,0,123,1553,11,0,0,0
Ryan Tannehill,Ten,QB,17,91,268.36,66%,17,3734,21,14,270,7,0,0,0,0,1,4
Justin Jefferson,Min,WR,17,18,276.40,100%,18,35,0,0,14,0,108,1616,10,0,0,1
Derek Carr,LV,QB,17,164,256.96,59%,19,4804,23,14,108,0,0,0,0,0,0,5
Joe Mixon,Cin,RB,16,23,266.90,99%,20,0,0,0,1205,13,42,314,3,0,0,1
Carson Wentz,Ind,QB,17,180,258.02,47%,21,3563,27,7,215,1,0,0,0,0,2,5
Ja'Marr Chase,Cin,WR,17,28,264.10,98%,22,0,0,0,21,0,81,1455,13,0,0,1
Najee Harris,Pit,RB,17,4,263.70,100%,23,0,0,0,1200,7,74,467,3,0,0,0
Lamar Jackson,Bal,QB,12,58,239.98,94%,24,2882,16,13,767,2,0,0,0,0,2,3
Russell Wilson,Sea,QB,14,181,242.82,94%,25,3113,25,6,183,2,0,0,0,0,1,1
Mark Andrews,Bal,TE,17,67,247.60,100%,26,0,0,0,0,0,107,1361,9,0,2,0
Tyreek Hill,KC,WR,17,8,241.00,100%,27,0,0,0,96,0,111,1239,9,0,0,1
Jimmy Garoppolo,SF,QB,15,324,227.50,31%,28,3810,20,12,51,3,0,0,0,0,1,3
James Conner,Ari,RB,15,112,239.20,94%,29,0,0,0,752,15,37,375,3,0,0,0
Mac Jones,NE,QB,17,196,224.94,36%,30,3801,22,13,129,0,0,0,0,0,2,3
Taylor Heinicke,Was,QB,16,313,222.36,23%,31,3419,20,15,313,1,1,-2,0,0,1,2
Matt Ryan,Atl,QB,17,151,222.92,44%,32,3968,20,12,82,1,0,0,0,0,1,4
Stefon Diggs,Buf,WR,17,17,234.00,100%,33,0,0,0,0,0,103,1225,10,0,0,0
Ezekiel Elliott,Dal,RB,17,5,228.56,100%,34,4,0,0,1002,10,47,287,2,0,3,1
Ben Roethlisberger,Pit,QB,16,155,218.10,27%,35,3740,22,10,5,1,0,0,0,0,2,5
Mike Evans,TB,WR,16,45,225.50,97%,36,0,0,0,10,0,74,1035,14,0,0,0
Leonard Fournette,TB,RB,14,47,221.10,71%,37,0,0,0,812,8,69,454,2,0,0,0
Diontae Johnson,Pit,WR,16,40,220.90,98%,38,0,0,0,53,0,107,1161,8,0,1,2
Travis Kelce,KC,TE,16,9,216.80,100%,39,0,0,0,3,1,92,1125,9,0,0,1
Trevor Lawrence,Jax,QB,17,117,199.04,26%,40,3641,12,17,334,2,0,0,0,0,2,5
Alvin Kamara,NO,RB,13,6,211.20,100%,41,0,0,0,898,4,47,439,5,0,0,0
Teddy Bridgewater,Den,QB,14,174,202.68,18%,42,3052,18,7,106,2,0,0,0,0,1,1
Mike Williams,LAC,WR,16,30,208.60,92%,43,0,0,0,0,0,76,1146,9,0,1,0
Cordarrelle Patterson,Atl,"WR,RB",16,54,208.60,93%,44,0,0,0,618,6,52,548,5,0,0,0
Antonio Gibson,Was,RB,16,24,208.10,95%,45,0,0,0,1037,7,42,294,3,0,1,4
Hunter Renfrow,LV,WR,17,227,207.60,87%,46,0,0,0,3,0,103,1038,9,0,0,1
DK Metcalf,Sea,WR,17,22,206.80,99%,47,0,0,0,6,0,75,967,12,0,0,0
Nick Chubb,Cle,RB,14,15,205.30,100%,48,0,0,0,1259,8,20,174,1,0,0,1
Tyler Lockett,Sea,WR,16,41,204.90,98%,49,0,0,0,9,0,73,1175,8,0,1,0
Keenan Allen,LAC,WR,16,31,204.80,99%,50,0,0,0,0,0,106,1138,6,0,1,0
Aaron Jones,GB,RB,15,10,203.00,99%,51,0,0,0,799,4,52,391,6,0,0,1
Jared Goff,Det,QB,14,272,194.50,7%,52,3245,19,8,87,0,0,0,0,0,4,6
Damien Harris,NE,RB,15,52,201.10,93%,53,0,0,0,929,15,18,132,0,0,0,2
Josh Jacobs,LV,RB,15,49,199.00,98%,54,0,0,0,872,9,54,348,0,0,0,2
Michael Pittman Jr.,Ind,WR,17,71,194.60,93%,55,0,0,0,44,0,88,1082,6,0,1,0
Baker Mayfield,Cle,QB,14,129,180.90,28%,56,3010,17,13,134,1,0,11,0,0,2,3
Jaylen Waddle,Mia,WR,16,76,193.80,94%,57,0,0,0,3,1,104,1015,6,0,0,1
Chris Godwin,TB,WR,14,38,193.40,64%,58,0,0,0,21,1,98,1103,5,0,0,2
CeeDee Lamb,Dal,WR,16,29,193.30,100%,59,0,0,0,76,0,79,1102,6,0,0,0
DJ Moore,Car,WR,17,19,191.00,95%,60,0,0,0,48,0,93,1157,4,0,1,1
Tua Tagovailoa,Mia,QB,13,119,180.92,41%,61,2653,16,10,128,3,0,0,0,0,1,1
Dalvin Cook,Min,RB,13,3,189.30,100%,62,0,0,0,1159,6,34,224,0,0,1,2
Brandin Cooks,Hou,WR,16,77,186.80,91%,63,0,0,0,21,0,90,1037,6,0,0,0
Derrick Henry,Ten,RB,8,1,184.30,76%,65,5,1,0,937,10,18,154,0,0,1,0
Javonte Williams,Den,RB,17,65,183.40,93%,66,0,0,0,903,4,43,316,3,0,0,1
Amon-Ra St. Brown,Det,WR,17,206,182.30,81%,67,0,0,0,61,1,90,912,5,0,2,0
Tee Higgins,Cin,WR,14,44,182.10,96%,68,0,0,0,0,0,74,1091,6,0,1,1
Melvin Gordon III,Den,RB,16,88,181.10,89%,69,0,0,0,918,8,28,213,2,0,0,3
Marquise Brown,Bal,WR,16,42,180.80,91%,70,0,0,0,5,0,91,1008,6,0,0,1
Darnell Mooney,Chi,WR,17,111,179.20,74%,71,0,0,0,32,1,81,1055,4,0,0,0
D'Andre Swift,Det,RB,13,14,177.90,97%,72,0,0,0,617,5,62,452,2,0,0,1
Devin Singletary,Buf,RB,17,108,177.80,86%,73,0,0,0,870,7,40,228,1,0,0,0
David Montgomery,Chi,RB,13,104,174.00,99%,74,0,0,1,849,7,42,301,0,0,0,1
Terry McLaurin,Was,WR,17,35,175.00,97%,75,0,0,0,12,0,77,1053,5,0,0,0
Daniel Jones,NYG,QB,11,238,167.02,14%,76,2428,10,7,298,2,1,16,0,0,3,3
Darrel Williams,KC,RB,17,261,172.50,76%,78,0,0,0,558,6,47,452,2,0,0,0
Sam Darnold,Car,QB,12,169,157.28,7%,80,2527,9,13,222,5,0,0,0,0,1,4
Dalton Schultz,Dal,TE,17,243,169.80,89%,81,0,0,0,0,0,78,808,8,0,1,0
Christian Kirk,Ari,WR,17,156,169.12,80%,82,33,0,0,11,0,77,982,5,0,0,0
AJ Dillon,GB,RB,17,97,168.60,91%,83,0,0,0,803,5,34,313,2,0,0,1
Amari Cooper,Dal,WR,15,33,168.50,98%,84,0,0,0,0,0,68,865,8,0,0,0
Davis Mills,Hou,QB,13,1882,156.96,5%,85,2664,16,10,44,0,0,0,0,0,2,1
Adam Thielen,Min,WR,13,43,166.30,81%,86,0,0,0,2,0,67,726,10,0,0,0
Zach Wilson,NYJ,QB,13,200,151.86,8%,87,2334,9,11,185,4,0,0,0,0,2,1
George Kittle,SF,TE,14,99,162.50,100%,88,0,0,0,20,0,71,910,6,0,0,1
James Robinson,Jax,RB,14,27,158.40,76%,92,0,0,0,767,8,31,222,0,0,0,2
Eli Mitchell,SF,RB,11,80,155.50,86%,95,0,0,0,963,5,19,137,1,0,0,0
DeVonta Smith,Phi,WR,17,64,153.60,90%,98,0,0,0,0,0,64,916,5,0,1,1
Kendrick Bourne,NE,WR,17,293,153.00,26%,99,25,1,0,125,0,55,800,5,0,0,1
Tyler Boyd,Cin,WR,16,83,150.34,71%,102,46,0,0,22,0,67,828,5,0,0,0
A.J. Brown,Ten,WR,13,62,149.40,98%,104,0,0,0,10,0,63,869,5,0,0,0
Myles Gaskin,Mia,RB,17,53,149.10,84%,105,0,0,0,612,3,49,234,4,0,0,1
Darrell Henderson Jr.,LAR,RB,12,12,148.90,76%,106,0,0,0,688,5,29,176,3,0,0,0
Jakobi Meyers,NE,WR,17,69,144.80,72%,109,45,0,0,9,0,83,866,2,0,2,1
Marvin Jones Jr.,Jax,WR,17,95,143.70,50%,110,0,0,0,0,0,73,832,4,0,0,0
Zach Ertz,Ari,TE,17,163,143.70,89%,111,0,0,0,4,0,74,763,5,0,0,0
Rob Gronkowski,TB,TE,12,92,143.70,97%,112,0,0,0,0,0,55,802,6,0,0,0
Van Jefferson,LAR,WR,17,220,143.20,69%,113,0,0,0,20,0,50,802,6,0,0,0
Tony Pollard,Dal,RB,15,118,143.10,83%,114,0,0,0,719,2,39,337,0,1,0,0
Kyle Pitts,Atl,TE,17,73,142.60,97%,116,0,0,0,0,0,68,1026,1,0,0,0
Brandon Aiyuk,SF,WR,17,123,142.30,92%,117,0,0,0,17,0,56,826,5,0,1,1
Dawson Knox,Buf,TE,15,252,139.60,85%,121,0,0,0,4,0,49,587,9,0,1,0
Hunter Henry,NE,TE,17,140,139.30,78%,122,0,0,0,0,0,50,603,9,0,0,0
Chase Claypool,Pit,WR,15,36,137.10,85%,125,0,0,0,96,0,59,860,2,0,0,0
Dallas Goedert,Phi,TE,15,110,137.00,92%,126,0,0,0,0,0,56,830,4,0,1,0
Justin Fields,Chi,QB,12,159,126.80,22%,127,1870,7,10,420,2,0,0,0,0,0,5
Michael Carter,NYJ,RB,14,132,136.40,78%,128,0,0,0,639,4,36,325,0,0,0,1
Sony Michel,LAR,RB,17,124,135.80,91%,129,0,0,0,845,4,21,128,1,0,0,1
K.J. Osborn,Min,WR,17,344,133.50,42%,131,0,0,0,10,0,50,655,7,0,0,0
Russell Gage,Atl,WR,14,193,130.00,61%,133,0,0,0,0,0,66,770,4,0,0,2
Tim Patrick,Den,WR,16,201,129.90,20%,135,0,0,0,0,0,53,734,5,0,0,0
A.J. Green,Ari,WR,16,218,129.80,62%,136,0,0,0,0,0,54,848,3,0,0,0
Devonta Freeman,Bal,RB,16,346,129.60,77%,137,0,0,0,576,5,34,190,1,0,0,0
Marquez Callaway,NO,WR,17,114,128.80,27%,139,0,0,0,0,0,46,698,6,0,0,0
Mike Gesicki,Mia,TE,17,137,128.50,87%,140,0,0,0,0,0,73,780,2,0,1,0
Saquon Barkley,NYG,RB,13,16,128.10,98%,141,0,0,0,593,2,41,263,2,0,0,1
DeAndre Hopkins,Ari,WR,10,32,126.20,64%,143,0,0,0,0,0,42,572,8,0,0,0
Cedrick Wilson,Dal,WR,16,338,125.32,4%,144,88,0,0,11,0,45,602,6,0,1,0
Chuba Hubbard,Car,RB,17,90,125.10,58%,145,0,0,0,612,5,25,174,1,0,0,1
Noah Fant,Den,TE,16,94,125.00,82%,146,0,0,0,0,0,68,670,4,0,0,0
Taysom Hill,NO,QB,12,2445,119.72,47%,148,978,4,5,374,5,4,52,0,0,0,0
Devontae Booker,NYG,RB,16,242,124.10,22%,149,0,0,0,593,2,40,268,1,0,0,0
Allen Lazard,GB,WR,15,258,122.50,29%,153,0,0,0,32,0,40,513,8,0,0,0
Chase Edmonds,Ari,RB,12,82,121.80,87%,154,0,0,0,592,2,43,311,0,0,0,1
Pat Freiermuth,Pit,TE,16,230,121.70,54%,155,0,0,0,0,0,60,497,7,0,1,1
Courtland Sutton,Den,WR,17,51,121.24,68%,156,16,0,0,0,0,58,776,2,0,1,0
Jameis Winston,NO,QB,7,121,117.40,6%,158,1170,14,3,166,1,0,0,0,0,0,1
Rashaad Penny,Sea,RB,10,235,118.70,83%,160,0,0,0,749,6,6,48,0,0,0,0
Cole Beasley,Buf,WR,16,148,118.30,63%,161,0,0,0,0,0,82,693,1,0,1,0
Elijah Moore,NYJ,WR,11,152,116.70,52%,164,0,0,0,54,1,43,538,5,0,0,0
Tyler Higbee,LAR,TE,15,75,116.50,84%,165,0,0,0,0,0,61,560,5,0,0,0
Mike Davis,Atl,RB,17,61,116.20,50%,166,0,0,0,503,3,44,259,1,0,0,3
T.J. Hockenson,Det,TE,12,55,114.80,53%,169,0,0,0,0,0,61,583,4,0,1,0
Robert Woods,LAR,WR,9,39,114.70,26%,170,0,0,0,46,1,45,556,4,0,1,0
Robby Anderson,Car,WR,17,66,112.00,37%,171,0,0,0,36,0,53,519,5,0,0,0
Mecole Hardman,KC,WR,17,142,111.40,32%,173,0,0,0,46,0,59,693,2,0,0,2
Emmanuel Sanders,Buf,WR,14,98,110.70,47%,176,0,0,0,31,0,42,626,4,0,0,0
Alexander Mattison,Min,RB,16,150,109.90,77%,177,0,0,0,491,3,32,228,1,0,0,1
Christian McCaffrey,Car,RB,7,46,109.00,44%,178,0,0,0,442,1,37,343,1,0,0,0
Gabriel Davis,Buf,WR,16,138,108.40,25%,179,0,0,0,0,0,35,549,6,0,0,0
Kalif Raymond,Det,WR,16,352,108.40,4%,180,0,0,0,28,0,48,576,4,0,0,0
Jared Cook,LAC,TE,16,136,108.40,52%,181,0,0,0,0,0,48,564,4,0,2,0
Clyde Edwards-Helaire,KC,RB,10,93,108.10,87%,182,0,0,0,517,4,19,129,2,0,1,2
Rhamondre Stevenson,NE,RB,12,133,107.90,59%,184,0,0,0,606,5,14,123,0,0,0,1
Tyler Conklin,Min,TE,17,257,107.80,40%,185,0,0,0,0,0,61,593,3,0,0,0
Odell Beckham Jr.,LAR,WR,14,63,107.10,91%,186,0,0,0,14,0,44,537,5,0,0,0
Jarvis Landry,Cle,WR,12,115,107.00,68%,187,0,0,0,40,2,52,570,2,0,0,2
Kenneth Gainwell,Phi,RB,16,113,106.90,11%,188,0,0,0,291,5,33,253,1,0,1,1
