Josh Allen,Buf,QB,17,56,402.58,100%,1,4407,36,15,763,6,0,0,0,0,3,3
Jamaal Williams,Det,RB,13,89,106.80,56%,189,0,0,0,601,3,26,157,0,0,0,0
J.D. McKissic,Was,RB,11,170,106.40,32%,190,0,0,0,212,2,43,397,2,0,0,0
Darren Waller,LV,TE,11,21,106.00,90%,191,0,0,0,0,0,55,665,2,0,0,0
Byron Pringle,KC,WR,17,265,105.80,3%,193,0,0,0,0,0,42,568,5,0,0,1
Miles Sanders,Phi,RB,12,79,104.20,76%,195,0,0,0,754,0,26,158,0,0,1,1
C.J. Uzomah,Cin,TE,16,343,103.80,22%,197,0,0,0,0,0,49,493,5,0,0,0
Brandon Bolden,NE,RB,17,335,103.60,16%,198,0,0,0,226,1,41,405,2,0,1,0
Antonio Brown,TB,WR,7,50,100.10,92%,200,0,0,0,6,0,42,545,4,0,0,0
Ty Johnson,NYJ,RB,16,187,100.00,17%,201,0,0,0,238,2,34,372,2,0,0,1
Kareem Hunt,Cle,RB,8,34,99.00,82%,203,0,0,0,386,5,22,174,0,0,1,0
Latavius Murray,Bal,RB,14,87,98.60,25%,204,0,0,0,501,6,10,75,0,0,0,0
Braxton Berrios,NYJ,WR,16,364,98.10,7%,205,0,0,0,40,2,46,431,2,1,0,1
Laviska Shenault Jr.,Jax,WR,16,84,95.50,29%,207,0,0,0,41,0,63,619,0,0,0,1
Mark Ingram II,NO,RB,14,171,95.10,44%,208,0,0,0,554,2,27,162,0,0,0,1
Deonte Harris,NO,WR,13,283,95.10,15%,209,0,0,0,41,0,36,570,3,0,0,1
D'Ernest Johnson,Cle,RB,17,355,94.60,17%,210,0,0,0,534,3,19,137,0,0,0,0
Quez Watkins,Phi,WR,17,262,94.50,1%,211,0,0,0,3,0,43,647,1,0,1,0
Gerald Everett,Sea,TE,15,130,93.80,51%,213,0,0,0,20,0,48,478,4,0,0,2
Zack Moss,Buf,RB,13,72,93.70,35%,214,0,0,0,345,4,23,197,1,0,0,1
Andy Dalton,Chi,QB,8,327,84.20,2%,215,1515,8,9,76,0,0,0,0,0,2,1
Trevor Siemian,NO,QB,6,345,90.16,1%,216,1154,11,3,20,1,0,0,0,0,0,1
Donovan Peoples-Jones,Cle,WR,14,267,92.70,13%,219,0,0,0,0,0,34,597,3,0,0,1
Nyheim Hines,Ind,RB,17,127,92.60,50%,220,0,0,0,276,2,40,310,1,0,0,2
Boston Scott,Phi,RB,16,215,92.10,31%,221,0,0,0,373,7,13,83,0,0,0,1
Bryan Edwards,LV,WR,16,161,92.10,9%,222,0,0,0,0,0,34,571,3,0,0,0
Rex Burkhead,Hou,RB,16,320,91.80,30%,223,0,0,0,427,3,25,186,0,0,0,0
Cam Newton,Car,QB,8,1875,86.36,18%,224,684,4,5,230,5,0,0,0,0,1,1
Cole Kmet,Chi,TE,17,134,91.20,31%,225,0,0,0,0,0,60,612,0,0,0,0
David Njoku,Cle,TE,16,270,89.60,12%,226,0,0,0,1,0,36,475,4,0,0,0
D'Onta Foreman,Ten,RB,9,337,89.40,62%,227,0,0,0,566,3,9,123,0,0,0,1
Nick Westbrook-Ikhine,Ten,WR,16,371,88.60,15%,228,0,0,0,0,0,38,476,4,0,0,1
Corey Davis,NYJ,WR,9,70,88.20,24%,229,0,0,0,0,0,34,492,4,0,0,1
Kenyan Drake,LV,RB,12,135,87.50,26%,231,0,0,0,254,2,30,291,1,0,0,0
Tyrod Taylor,Hou,QB,6,251,81.74,3%,235,966,5,5,151,3,0,0,0,0,0,0
Tyler Huntley,Bal,QB,7,1891,82.64,22%,236,1081,3,4,294,2,0,0,0,0,0,3
Nelson Agholor,NE,WR,15,139,84.90,16%,238,0,0,0,11,0,37,473,3,0,0,0
Jamison Crowder,NYJ,WR,12,240,84.20,23%,239,0,0,0,0,0,51,447,2,0,2,1
DeVante Parker,Mia,WR,10,100,83.50,58%,240,0,0,0,0,0,40,515,2,0,0,0
Zay Jones,LV,WR,17,1861,82.40,2%,241,0,0,0,3,0,47,546,1,0,0,1
Rondale Moore,Ari,WR,14,102,82.10,22%,242,0,0,0,76,0,54,435,1,0,0,1
Jalen Guyton,LAC,WR,16,282,81.70,7%,243,0,0,0,34,0,31,448,3,0,0,0
Rashod Bateman,Bal,WR,12,224,80.50,36%,244,0,0,0,0,0,46,515,1,0,0,0
Randall Cobb,GB,WR,12,260,79.60,6%,245,0,0,0,1,0,28,375,5,0,0,1
Evan Engram,NYG,TE,15,143,79.50,30%,246,0,0,0,-3,0,46,408,3,0,0,1
Joshua Palmer,LAC,WR,17,268,76.40,4%,248,0,0,0,6,0,33,353,4,0,0,0
Jacoby Brissett,Mia,QB,11,2536,72.32,0%,249,1283,5,4,70,1,0,0,0,0,1,3
Zach Pascal,Ind,WR,16,195,75.50,3%,250,0,0,0,21,0,38,384,3,0,0,1
Justin Jackson,LAC,RB,14,236,75.20,51%,251,0,0,0,364,2,22,178,0,0,0,1
DeAndre Carter,Was,WR,17,1895,74.50,2%,252,0,0,0,89,0,24,296,3,1,0,0
Olamide Zaccheaus,Atl,WR,17,305,74.30,1%,253,0,0,0,2,0,31,406,3,0,0,0
Ronald Jones II,TB,RB,16,122,74.20,90%,254,0,0,0,428,4,10,64,0,0,0,2
Freddie Swain,Sea,WR,17,1896,74.00,0%,255,0,0,0,32,0,25,343,4,0,0,0
Michael Gallup,Dal,WR,9,176,74.00,76%,256,0,0,0,0,0,35,445,2,0,0,0
Marquez Valdes-Scantling,GB,WR,11,203,74.00,52%,257,0,0,0,0,0,26,430,3,0,0,0
Austin Hooper,Cle,TE,16,154,73.50,30%,258,0,0,0,0,0,38,345,3,0,1,0
Henry Ruggs III,LV,WR,7,189,72.50,6%,259,0,0,0,16,0,24,469,2,0,0,0
Khalil Herbert,Chi,RB,17,103,71.90,13%,260,0,0,0,433,2,14,96,0,0,0,0
Tre'Quan Smith,NO,WR,11,210,71.70,7%,261,0,0,0,0,0,32,377,3,0,0,0
Kenny Golladay,NYG,WR,14,78,70.60,48%,262,0,0,0,0,0,37,521,0,0,0,0
Ameer Abdullah,Car,RB,17,331,70.50,13%,263,0,0,0,166,0,38,289,1,0,0,0
Foster Moreau,LV,TE,17,356,70.30,22%,264,0,0,0,0,0,30,373,3,0,0,0
Jauan Jennings,SF,WR,16,1866,70.20,1%,265,0,0,0,0,0,24,282,5,0,0,0
Samaje Perine,Cin,RB,16,233,69.70,13%,266,0,0,0,246,1,27,196,1,0,0,0
Allen Robinson II,Chi,WR,12,116,68.00,50%,267,0,0,0,0,0,38,410,1,0,1,0
Mo Alie-Cox,Ind,TE,17,1871,67.60,2%,269,0,0,0,0,0,24,316,4,0,0,0
Nico Collins,Hou,WR,14,229,67.10,2%,270,0,0,0,0,0,33,446,1,0,0,0
Trey Lance,SF,QB,6,81,64.92,32%,271,603,5,2,168,1,0,0,0,0,1,0
Devin Duvernay,Bal,WR,16,1901,66.70,2%,272,0,0,0,50,0,33,272,2,0,0,0
Josh Reynolds,Det,WR,12,299,66.10,10%,273,0,0,0,0,0,29,396,2,0,0,0
Jerry Jeudy,Den,WR,10,101,66.00,67%,274,0,0,0,3,0,38,467,0,0,0,0
Laquon Treadwell,Jax,WR,12,1862,65.90,3%,275,0,0,0,0,0,33,434,1,0,0,0
DeSean Jackson,LV,WR,16,259,65.80,5%,276,0,0,0,4,0,20,454,2,0,0,1
David Johnson,Hou,RB,13,145,65.30,39%,277,0,0,0,228,0,32,225,1,0,0,1
Julio Jones,Ten,WR,10,48,64.90,57%,280,0,0,0,0,0,31,434,1,0,0,0
Keelan Cole Sr.,NYJ,WR,15,1889,64.90,1%,281,0,0,0,0,0,28,449,1,0,0,0
Jack Doyle,Ind,TE,17,1850,64.70,2%,282,0,0,0,0,0,29,302,3,0,1,0
Alex Collins,Sea,RB,11,125,64.30,19%,283,0,0,0,411,2,9,87,0,0,0,1
Jamal Agnew,Jax,WR,10,358,64.00,1%,284,0,0,0,111,1,24,229,1,1,0,0
Cameron Brate,TB,TE,17,1873,63.50,4%,285,0,0,0,0,0,30,245,4,0,0,0
Dontrell Hilliard,Ten,RB,8,340,63.20,28%,286,0,0,0,350,2,19,87,0,0,0,1
Kadarius Toney,NYG,WR,10,309,62.86,21%,287,19,0,0,6,0,39,420,0,0,0,0
T.Y. Hilton,Ind,WR,10,239,62.60,18%,288,0,0,0,0,0,23,331,3,0,0,0
Anthony Firkser,Ten,TE,15,191,62.10,5%,289,0,0,0,0,0,34,291,2,0,0,1
Jalen Reagor,Phi,WR,17,149,61.60,6%,291,0,0,0,32,0,33,299,2,0,0,0
Jordan Howard,Phi,RB,7,341,61.50,24%,292,0,0,0,406,3,2,19,0,0,0,0
Sterling Shepard,NYG,WR,7,128,59.70,19%,294,0,0,0,-9,0,36,366,1,0,0,0
Jeremy McNichols,Ten,RB,14,319,59.60,7%,295,0,0,0,156,0,28,240,1,0,0,0
Albert Okwuegbunam,Den,TE,14,367,59.50,1%,296,0,0,0,0,0,33,330,2,0,0,1
Kyle Juszczyk,SF,RB,17,2080,58.80,1%,298,0,0,0,22,1,30,296,1,0,0,0
Adam Humphries,Was,WR,17,2068,58.80,1%,299,0,0,0,0,0,41,383,0,0,0,0
Dan Arnold,Jax,TE,11,264,58.30,6%,300,0,0,0,0,0,35,408,0,0,1,1
Duke Johnson,Mia,RB,5,336,57.10,8%,302,0,0,0,330,3,4,41,0,0,0,0
Demarcus Robinson,KC,WR,17,296,56.90,0%,304,0,0,0,0,0,25,264,3,0,0,0
Sammy Watkins,Bal,WR,13,212,56.90,7%,305,0,0,0,0,0,27,394,1,0,0,1
Danny Amendola,Hou,WR,8,348,56.80,0%,306,0,0,0,0,0,24,248,3,0,1,0
Darius Slayton,NYG,WR,13,208,55.60,4%,307,0,0,0,-13,0,26,339,2,0,0,1
Calvin Ridley,Atl,WR,5,20,55.60,57%,308,0,0,0,0,0,31,281,2,0,0,0
Geno Smith,Sea,QB,4,370,54.28,0%,309,702,5,1,42,1,0,0,0,0,0,1
Geoff Swaim,Ten,TE,16,1884,54.50,0%,311,0,0,0,0,0,31,210,3,0,0,0
Ricky Seals-Jones,Was,TE,13,360,54.10,12%,312,0,0,0,0,0,30,271,2,0,0,0
Tyler Johnson,TB,WR,17,2056,54.00,7%,313,0,0,0,0,0,36,360,0,0,0,0
Travis Homer,Sea,RB,14,2301,53.80,0%,314,0,0,0,177,1,16,161,0,1,0,0
James Washington,Pit,WR,15,311,53.80,2%,315,0,0,0,13,0,24,285,2,0,0,0
Chris Conley,Hou,WR,16,1909,53.60,0%,316,0,0,0,3,0,22,323,2,0,0,1
Jonnu Smith,NE,TE,16,109,53.40,19%,317,0,0,0,40,0,28,294,1,0,0,0
Drew Lock,Den,QB,6,2494,51.38,2%,318,787,2,2,53,2,1,1,0,0,0,1
Mack Hollins,Mia,WR,17,2060,53.30,0%,319,0,0,0,0,0,14,223,4,0,0,0
Durham Smythe,Mia,TE,17,1883,53.00,0%,320,0,0,0,3,0,34,357,0,0,0,0
Damien Williams,Chi,RB,12,86,52.70,3%,321,0,0,0,164,2,16,103,1,0,0,0
Derrick Gore,KC,RB,11,374,52.10,6%,322,0,0,0,256,2,8,105,0,0,0,0
Mike White,NYJ,QB,4,1877,44.02,1%,323,953,5,8,-1,0,0,0,0,0,1,0
Damiere Byrd,Chi,WR,17,1887,51.90,0%,324,0,0,0,0,0,26,329,1,0,1,1
Harrison Bryant,Cle,TE,16,1869,51.80,0%,325,0,0,0,0,0,21,233,3,0,0,0
Ryan Griffin,NYJ,TE,14,1880,51.60,1%,326,0,0,0,0,0,27,261,2,0,0,0
Hayden Hurst,Atl,TE,13,255,51.10,1%,327,0,0,0,0,0,26,221,3,0,0,1
Jaret Patterson,Was,RB,17,274,50.90,25%,328,0,0,0,266,2,10,73,0,0,0,0
Chester Rogers,Ten,WR,16,2303,50.00,1%,329,0,0,0,9,0,30,301,1,0,0,1
Adam Trautman,NO,TE,13,165,49.80,5%,330,0,0,0,0,0,27,263,2,0,0,1
DeeJay Dallas,Sea,RB,17,256,49.60,2%,331,0,0,0,138,2,21,133,0,0,0,0
Donald Parham Jr.,LAC,TE,14,1860,49.00,1%,332,0,0,0,0,0,20,190,3,0,1,0
Josiah Deguara,GB,TE,16,1859,49.00,0%,333,0,0,0,0,0,25,245,2,0,0,0
Josh Johnson,Bal,QB,4,1900,46.32,1%,334,638,5,2,28,0,0,0,0,0,1,0
Antoine Wesley,Ari,WR,15,366,48.30,0%,335,0,0,0,0,0,19,208,3,0,0,0
Jeff Wilson Jr.,SF,RB,9,253,48.00,66%,336,0,0,0,294,2,7,31,0,0,0,0
Giovani Bernard,TB,RB,12,179,47.60,7%,337,0,0,0,58,0,23,123,3,0,0,0
Marquise Goodwin,Chi,WR,14,2076,47.20,0%,338,0,0,0,-1,0,20,313,1,0,0,0
Kyle Rudolph,NYG,TE,16,1892,46.70,0%,339,0,0,0,0,0,26,257,1,0,1,0
Ray-Ray McCloud III,Pit,WR,16,2312,46.70,1%,340,0,0,0,15,0,39,277,0,0,0,1
Juwan Johnson,NO,"WR,TE",14,175,46.40,3%,341,0,0,0,0,0,13,159,4,0,0,0
Tevin Coleman,NYJ,RB,11,157,46.00,17%,342,0,0,0,356,0,11,49,0,0,0,0
Brevin Jordan,Hou,TE,9,347,45.80,1%,343,0,0,0,0,0,20,178,3,0,0,0
Rashard Higgins,Cle,WR,15,294,45.50,1%,344,0,0,0,0,0,24,275,1,0,0,0
Chris Moore,Hou,WR,12,1893,45.20,0%,345,0,0,0,0,0,21,227,2,0,0,0
Chris Carson,Sea,RB,4,96,45.10,30%,346,0,0,0,232,3,6,29,0,0,0,1
Peyton Barber,LV,RB,10,1898,44.90,1%,348,0,0,0,212,2,10,67,0,0,0,0
Logan Thomas,Was,TE,6,105,44.60,26%,349,0,0,0,0,0,18,196,3,0,0,1
Jimmy Graham,Chi,TE,15,1872,43.70,1%,350,0,0,0,0,0,14,167,3,0,1,0
Dare Ogunbowale,Jax,RB,17,2418,43.60,34%,351,0,0,0,137,1,13,114,1,0,0,0
Phillip Lindsay,Mia,RB,14,144,43.40,9%,352,0,0,0,249,1,4,45,1,0,0,0
Lil'Jordan Humphrey,NO,WR,10,1865,43.40,0%,353,0,0,0,0,0,13,249,2,0,0,0
Tommy Tremble,Car,TE,16,1899,43.10,0%,354,0,0,0,11,1,20,180,1,0,1,0
Isaiah McKenzie,Buf,WR,15,2414,42.50,8%,355,0,0,0,47,1,20,178,1,0,0,1
Chris Evans,Cin,RB,14,334,42.30,0%,356,0,0,0,77,0,15,151,2,0,0,0
Colt McCoy,Ari,QB,8,2623,41.30,0%,357,740,3,1,37,0,0,0,0,0,0,1
Quintez Cephus,Det,WR,5,241,41.90,1%,360,0,0,0,0,0,15,204,2,0,1,0
Demetric Felton,Cle,"WR,RB",16,2449,41.50,1%,361,0,0,0,24,0,18,181,2,0,0,0
MyCole Pruitt,Ten,TE,16,1856,41.50,0%,362,0,0,0,0,0,14,145,3,0,1,0
Robert Tonyan,GB,TE,8,126,41.40,18%,363,0,0,0,0,0,18,204,2,0,0,0
Cam Sims,Was,WR,14,2071,41.30,0%,364,0,0,0,7,0,15,211,2,0,0,0
John Bates,Was,TE,17,1878,40.90,1%,365,0,0,0,0,0,20,249,1,0,0,0
Mike Glennon,NYG,QB,6,2621,30.90,1%,366,790,4,10,33,1,0,0,0,0,0,3
Brandon Zylstra,Car,WR,13,2077,40.00,0%,367,0,0,0,0,0,18,250,1,0,0,0
